,June_2021,July_2021,August_2021,September_2021,December_2021,January_2021,February_2021,March_2021,December_2022,January_2022,February_2022,March_2022,June_2022,July_2022,August_2022,September_2022
Houses Sold,590,597,536,463,480,381,304,404,306,318,257,353,500,476,520,391
New Listings,774,648,561,561,226,452,404,620,189,361,471,594,737,581,453,479
